   No. ,   SiO2  ,   Al2O3 ,   Na2O  ,   MgO   ,   K2O   ,   MnO   ,   TiO2  ,   F     ,   CaO   ,   FeO   ,  Total  ,Comment  ,Sample,Location,type,   Si,   Al,   Na,   Mg,   K,   Mn   ,   Ti,F,   Ca,   Fe,OH
69,52.44,0.473,4.39,16.99,4.74,0.124,7.23,1.03,5.42,5.66,98.4971,mrwy263_amph4_3 ,MRWY263,EH,lava+xeno,7.55,0.08,1.22,3.64,0.87,0.02,0.78,0.47,0.84,0.68,1.53
70,52.81,0.6159,4.25,18.31,4.69,0.0905,6.06,1.31,5.79,4.54,98.4665,mrwy263_amph4_4 ,MRWY263,EH,lava+xeno,7.58,0.1,1.18,3.92,0.86,0.01,0.65,0.59,0.89,0.54,1.41
71,52.52,0.6466,4.34,18.2,4.64,0.0791,6.32,1.28,5.55,4.77,98.3457,mrwy263_amph4_5 ,MRWY263,EH,lava+xeno,7.55,0.11,1.21,3.9,0.85,0.01,0.68,0.58,0.85,0.57,1.42
72,52.12,0.8545,4.18,19.19,4.54,0.0784,5.96,1.66,6.01,3.57,98.163,mrwy263_amph4_6 ,MRWY263,EH,lava+xeno,7.5,0.14,1.17,4.12,0.83,0.01,0.65,0.76,0.93,0.43,1.24
73,52.31,0.6242,4.28,18.22,4.71,0.0971,6.63,1.23,5.57,4.71,98.3813,mrwy263_amph4_7 ,MRWY263,EH,lava+xeno,7.52,0.11,1.19,3.9,0.86,0.01,0.72,0.56,0.86,0.57,1.44
74,51.86,1.0184,4.11,18.65,4.47,0.0677,6.59,1.41,6.04,4.07,98.2862,mrwy263_amph4_8 ,MRWY263,EH,lava+xeno,7.45,0.17,1.15,4,0.82,0.01,0.71,0.64,0.93,0.49,1.36
75,52.73,0.6863,4.29,18.76,4.56,0.0734,6.07,1.36,5.86,4.07,98.4598,mrwy263_amph4_9 ,MRWY263,EH,lava+xeno,7.55,0.12,1.19,4.01,0.83,0.01,0.65,0.62,0.9,0.49,1.38
76,52.23,0.6633,4.29,18.26,4.7,0.1002,6.72,1.19,5.55,4.83,98.5336,mrwy263_amph4_10 ,MRWY263,EH,lava+xeno,7.5,0.11,1.19,3.91,0.86,0.01,0.73,0.54,0.85,0.58,1.46
77,52.43,0.6883,4.27,18.6,4.67,0.0737,6.68,1.29,5.67,4.61,98.982,mrwy263_amph4_11 ,MRWY263,EH,lava+xeno,7.49,0.12,1.18,3.96,0.85,0.01,0.72,0.58,0.87,0.55,1.42
78,52.29,0.5941,4.32,17.5,4.74,0.0625,7.28,1.16,5.52,5.32,98.7867,mrwy263_amph4_12 ,MRWY263,EH,lava+xeno,7.5,0.1,1.2,3.74,0.87,0.01,0.79,0.53,0.85,0.64,1.47
79,52.36,0.5982,4.38,17.86,4.7,0.0824,7.11,1.18,5.55,5.12,98.9407,mrwy263_amph4_13 ,MRWY263,EH,lava+xeno,7.5,0.1,1.22,3.81,0.86,0.01,0.77,0.53,0.85,0.61,1.47
80,52.24,0.3402,4.47,14.36,4.8,0.1539,8.73,0.4758,4.87,8.12,98.56,mrwy263_amph4_14 ,MRWY263,EH,lava+xeno,7.55,0.06,1.25,3.09,0.88,0.02,0.95,0.22,0.75,0.98,1.78
81,53.5,0.5661,4.29,18.64,4.65,0.0867,5.9,1.12,5.67,4.52,98.9429,mrwy263_amph5_1 ,MRWY263,EH,lava+xeno,7.61,0.09,1.18,3.95,0.84,0.01,0.63,0.5,0.86,0.54,1.5
82,52.95,0.4856,4.29,17.71,4.74,0.094,6.78,1.08,5.5,5.06,98.6897,mrwy263_amph5_2 ,MRWY263,EH,lava+xeno,7.58,0.08,1.19,3.78,0.87,0.01,0.73,0.49,0.84,0.61,1.51
83,52.78,0.4468,4.33,16.77,4.78,0.0923,7.42,1.01,5.35,5.7,98.6792,mrwy263_amph5_3 ,MRWY263,EH,lava+xeno,7.57,0.08,1.2,3.59,0.87,0.01,0.8,0.46,0.82,0.68,1.54
84,52.54,0.4366,4.3,16.67,4.81,0.1078,7.58,0.9286,5.34,5.85,98.5631,mrwy263_amph5_4 ,MRWY263,EH,lava+xeno,7.55,0.07,1.2,3.57,0.88,0.01,0.82,0.42,0.82,0.7,1.58
85,52.82,0.4667,4.28,17.41,4.75,0.1125,6.99,1.05,5.51,5.3,98.6893,mrwy263_amph5_5 ,MRWY263,EH,lava+xeno,7.57,0.08,1.19,3.72,0.87,0.01,0.75,0.48,0.85,0.63,1.52
86,52.67,0.6088,4.33,17.4,4.66,0.0931,6.91,1.11,5.47,5.3,98.552,mrwy263_amph5_6 ,MRWY263,EH,lava+xeno,7.56,0.1,1.2,3.72,0.85,0.01,0.75,0.5,0.84,0.64,1.5
87,52.48,0.545,4.15,17.75,4.64,0.0789,6.31,1.14,5.52,4.54,97.1539,mrwy263_amph5_7 ,MRWY263,EH,lava+xeno,7.61,0.09,1.17,3.84,0.86,0.01,0.69,0.52,0.86,0.55,1.48
88,52.59,0.7817,4.14,18.64,4.64,0.0612,6.32,1.29,5.87,4.03,98.363,mrwy263_amph5_8 ,MRWY263,EH,lava+xeno,7.53,0.13,1.15,3.98,0.85,0.01,0.68,0.58,0.9,0.48,1.42
89,53.11,0.5289,4.28,17.83,4.67,0.1079,6.63,1.16,5.5,4.82,98.6369,mrwy263_amph5_9 ,MRWY263,EH,lava+xeno,7.59,0.09,1.19,3.8,0.85,0.01,0.71,0.52,0.84,0.58,1.48
90,53.54,0.5982,4.31,18.23,4.73,0.0851,6.25,1.18,5.56,4.74,99.2234,mrwy263_amph5_10 ,MRWY263,EH,lava+xeno,7.61,0.1,1.19,3.86,0.86,0.01,0.67,0.53,0.85,0.56,1.47
91,52.18,1.1969,3.98,19.33,4.49,0.0266,6.01,1.68,6.41,3.41,98.7136,mrwy263_amph5_11 ,MRWY263,EH,lava+xeno,7.46,0.2,1.1,4.12,0.82,0,0.65,0.76,0.98,0.41,1.24
92,53.09,0.5207,4.33,17.63,4.7,0.0897,6.81,1.03,5.39,5.21,98.8004,mrwy263_amph5_12 ,MRWY263,EH,lava+xeno,7.58,0.09,1.2,3.75,0.86,0.01,0.73,0.47,0.82,0.62,1.53
93,52.82,0.5596,4.39,17.58,4.71,0.089,7.03,1.08,5.45,5.21,98.9186,mrwy263_amph5_13 ,MRWY263,EH,lava+xeno,7.55,0.09,1.22,3.75,0.86,0.01,0.76,0.49,0.83,0.62,1.51
94,52.9,0.5628,4.42,17.4,4.72,0.0994,7.14,1.05,5.44,5.4,99.1323,mrwy263_amph5_14 ,MRWY263,EH,lava+xeno,7.55,0.09,1.22,3.7,0.86,0.01,0.77,0.47,0.83,0.64,1.53
95,53.46,0.5073,4.44,19.41,4.72,0.0741,5.48,1.43,5.52,3.83,98.8715,mrwy263_amph6_1 ,MRWY263,EH,lava+xeno,7.61,0.09,1.23,4.12,0.86,0.01,0.59,0.64,0.84,0.46,1.36
96,52.56,0.8453,4.14,18.94,4.65,0.0779,5.93,1.3,5.81,3.95,98.2033,mrwy263_amph6_2 ,MRWY263,EH,lava+xeno,7.54,0.14,1.15,4.05,0.85,0.01,0.64,0.59,0.89,0.47,1.41
97,52.34,0.7767,4.23,18.99,4.54,0.0795,6.42,1.39,5.79,4.07,98.6263,mrwy263_amph6_3 ,MRWY263,EH,lava+xeno,7.49,0.13,1.17,4.05,0.83,0.01,0.69,0.63,0.89,0.49,1.37
98,52.65,0.6348,4.27,19.05,4.72,0.0717,5.81,1.52,5.69,3.92,98.3365,mrwy263_amph6_4 ,MRWY263,EH,lava+xeno,7.56,0.11,1.19,4.08,0.86,0.01,0.63,0.69,0.88,0.47,1.31
99,52.64,0.6873,4.28,19.14,4.65,0.0766,6.07,1.54,5.67,3.92,98.674,mrwy263_amph6_5 ,MRWY263,EH,lava+xeno,7.53,0.12,1.19,4.08,0.85,0.01,0.65,0.7,0.87,0.47,1.3
100,53.17,0.5625,4.36,19.5,4.62,0.0732,5.38,1.61,5.69,3.74,98.7057,mrwy263_amph6_6 ,MRWY263,EH,lava+xeno,7.6,0.09,1.21,4.15,0.84,0.01,0.58,0.73,0.87,0.45,1.27
101,55.05,0.1857,4.8,18.23,4.66,0.0317,6.7,1.05,4.76,4.47,99.9375,mrwy300_amph1_1 ,MRWY300,EH,lava+xeno,7.71,0.03,1.3,3.81,0.83,0,0.71,0.47,0.71,0.52,1.53
102,53.54,0.2807,4.94,17.31,4.55,0.0478,7.87,0.9608,4.71,4.66,98.8694,mrwy300_amph1_2 ,MRWY300,EH,lava+xeno,7.61,0.05,1.36,3.67,0.82,0.01,0.84,0.43,0.72,0.55,1.57
103,53.94,0.1864,4.76,17.71,4.76,0.0378,7.37,0.9785,4.83,4.4,98.9728,mrwy300_amph1_3 ,MRWY300,EH,lava+xeno,7.65,0.03,1.31,3.74,0.86,0,0.79,0.44,0.73,0.52,1.56
104,54.68,0.1735,5.1,18.55,4.62,0.0474,5.12,1.69,4.59,4.56,99.131,mrwy300_amph1_4 ,MRWY300,EH,lava+xeno,7.78,0.03,1.41,3.93,0.84,0.01,0.55,0.76,0.7,0.54,1.24
1,53.729,0.896,4.081,19.641,4.56,0.078,5.825,1.388,6.289,3.513,99.416,mrwy247_amph_matrix1 ,MRWY247,EH,lava+xeno,7.55,0.15,1.11,4.11,0.82,0.01,0.62,0.62,0.95,0.41,1.38
2,54.005,0.88,4.12,20.051,4.526,0.104,5.419,1.421,6.446,3.289,99.663,mrwy247_amph_matrix2 ,MRWY247,EH,lava+xeno,7.56,0.15,1.12,4.19,0.81,0.01,0.57,0.63,0.97,0.39,1.37
3,53.656,0.89,4.079,19.783,4.574,0.07,5.787,1.387,6.303,3.454,99.399,mrwy247_amph_matrix3 ,MRWY247,EH,lava+xeno,7.54,0.15,1.11,4.14,0.82,0.01,0.61,0.62,0.95,0.41,1.38
4,53.745,0.944,4.08,20.152,4.545,0.068,5.43,1.528,6.506,3.058,99.413,mrwy247_amph_matrix4 ,MRWY247,EH,lava+xeno,7.55,0.16,1.11,4.22,0.81,0.01,0.57,0.68,0.98,0.36,1.32
